,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
ф,1e-05,0.0,0.0,1e-05,0.0,1e-05,0.0,0.0,0.00019,1e-05,0.0,0.0,1e-05,7e-05,6e-05,0.0,5e-05,1e-05,0.0,0.0,6e-05,0.0,0.0,0.0,1e-05,0.0,3e-05,0.0,0.0,0.0,0.0,0.00025
х,0.00087,2e-05,8e-05,0.0,3e-05,0.00127,0.0,0.0,0.00218,1e-05,4e-05,0.0,1e-05,0.00011,0.00036,0.0,0.00032,0.00021,4e-05,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.00253,0.0,0.00013,0.00051,0.0014
ц,5e-05,7e-05,4e-05,0.0,0.00086,0.0004,0.0,1e-05,0.00094,0.00052,0.0,0.0,1e-05,0.00199,5e-05,4e-05,6e-05,0.00025,0.0002,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,0.00036,0.0,1e-05,0.00011,0.00034
ч,0.00074,0.0,1e-05,3e-05,9e-05,0.0009,0.00016,1e-05,0.00065,5e-05,0.0,8e-05,4e-05,0.00018,0.00156,3e-05,4e-05,0.00055,8e-05,0.00085,0.0,1e-05,0.0,0.0,0.0,0.0,0.00013,0.00017,0.0,0.00018,0.00041,0.00392
ш,0.00054,5e-05,0.00086,1e-05,0.00039,0.00059,0.0,1e-05,0.00071,0.00032,1e-05,0.0,0.0,0.0,0.00065,2e-05,0.00034,0.00014,4e-05,0.00039,0.0,1e-05,0.0,0.00022,0.0,0.0,0.00064,0.0006,2e-05,5e-05,3e-05,0.00065
щ,0.00026,9e-05,3e-05,0.0,0.0,0.00059,0.0,0.0,0.00018,2e-05,0.0,1e-05,1e-05,0.00016,0.00017,0.0,1e-05,0.0,3e-05,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,1e-05,0.0,0.00045,0.00033,8e-05
ь,0.0,0.00019,0.00029,0.0,0.00047,0.0,6e-05,0.0001,0.0,0.0,0.0,0.00343,0.00016,0.00131,0.0,0.00014,0.00037,0.00283,0.00513,0.0,0.0,0.0,0.0,0.00053,0.00042,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
ы,0.0,0.00242,0.00236,0.0,0.00082,0.0,0.0,0.0004,0.0,0.0,0.0,0.00068,0.00067,0.00417,0.0,0.00021,0.00164,0.00085,0.00098,0.0,1e-05,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
э,4e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,2e-05,2e-05,0.0,3e-05,0.0,2e-05,1e-05,0.0,0.00035,0.0,1e-05,0.0,0.0,0.0,0.0,2e-05,1e-05,0.0,0.0,1e-05,0.00231
ю,0.00042,0.0,0.0,0.0,0.0001,0.00012,0.0,0.0,0.00059,0.0,0.0,0.00115,0.0,0.00018,0.00031,0.0,8e-05,0.0001,4e-05,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.00093,0.0,0.0,3e-05,3e-05,0.00026
я,0.00149,0.00035,0.00031,0.0,0.00034,0.00021,0.0,0.00023,0.00093,0.0,0.0,0.0015,0.00052,0.00112,0.00043,0.00024,0.00087,0.003,0.00054,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00143,1e-05,1e-05,0.0,0.0001,0.00065
 ,0.01912,0.00025,0.00722,0.00047,0.00181,0.01573,0.00015,0.00158,0.01944,0.00804,0.00342,0.00538,0.00816,0.0038,0.01583,3e-05,0.00169,0.00358,0.00425,0.00588,1e-05,0.00467,0.0006,0.00011,6e-05,3e-05,0.01971,0.00888,0.0,0.00232,0.00778,0.00198
