,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
ф,1e-05,0.0,0.0,1e-05,0.0,1e-05,0.0,0.0,0.00021,1e-05,0.0,0.0,3e-05,8e-05,6e-05,0.0,5e-05,1e-05,0.0,0.0,4e-05,0.0,0.0,0.0,1e-05,0.0,2e-05,0.0,0.0,0.0,0.0,0.00054
х,0.00087,2e-05,8e-05,0.0,3e-05,0.00128,0.0,0.0,0.00215,0.0,3e-05,0.0,1e-05,0.00014,0.00041,0.0,0.0003,0.00022,3e-05,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.00276,0.0,0.00013,0.00051,0.00137
ц,5e-05,5e-05,3e-05,0.0,0.00081,0.00042,0.0,1e-05,0.00092,0.00049,0.0,0.0,3e-05,0.00208,6e-05,3e-05,8e-05,0.00032,0.00022,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.00042,0.0,1e-05,9e-05,0.00033
ч,0.00074,0.0,4e-05,2e-05,8e-05,0.00091,0.0002,0.0,0.00065,4e-05,0.0,7e-05,7e-05,0.00018,0.00156,1e-05,3e-05,0.00052,0.0001,0.00091,0.0,1e-05,1e-05,0.0,0.0,0.0,0.00013,0.00016,0.0,0.00016,0.00041,0.00381
ш,0.00052,7e-05,0.00081,0.0,0.00034,0.00064,0.0,0.0,0.00075,0.00025,1e-05,0.0,0.0,0.0,0.00065,2e-05,0.00039,0.00016,5e-05,0.00044,0.0,1e-05,0.0,0.00018,0.0,0.0,0.0006,0.00065,2e-05,6e-05,3e-05,0.00069
щ,0.00026,9e-05,1e-05,0.0,1e-05,0.00065,0.0,0.0,0.00018,1e-05,0.0,1e-05,2e-05,0.00017,0.00031,0.0,1e-05,0.0,2e-05,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,0.0,0.0004,0.00034,7e-05
ь,0.0,0.00019,0.00031,0.0,0.00047,0.0,5e-05,9e-05,0.0,0.0,0.0,0.00347,0.00017,0.00127,0.0,0.00016,0.00038,0.00274,0.00533,0.0,0.0,0.0,0.0,0.00055,0.00038,3e-05,0.0,0.0,0.0,0.0,0.0,0.0
ы,0.0,0.0024,0.00237,0.0,0.00082,0.0,0.0,0.0004,0.0,0.0,0.0,0.00065,0.00071,0.00429,0.0,0.00019,0.00164,0.00081,0.00103,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
э,3e-05,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1e-05,2e-05,0.0,4e-05,0.0,2e-05,2e-05,0.0,0.00038,0.0,1e-05,0.0,0.0,0.0,0.0,3e-05,1e-05,0.0,0.0,2e-05,0.00228
ю,0.00042,0.0,0.0,0.0,0.00011,0.00027,0.0,0.0,0.0006,0.0,0.0,0.00113,0.0,0.00016,0.00031,0.0,6e-05,8e-05,3e-05,0.00194,0.0,0.0,0.0,0.0,0.0,0.0,0.00083,0.0,0.0,3e-05,3e-05,0.00027
я,0.00139,0.00032,0.00034,0.0,0.00031,0.00021,0.0,0.00023,0.00087,0.0,0.0,0.0016,0.00057,0.00115,0.00045,0.00022,0.00087,0.00317,0.00054,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00137,0.0,1e-05,0.0,0.00011,0.00065
 ,0.01932,0.00025,0.00724,0.00045,0.00187,0.01626,0.00014,0.00161,0.01956,0.00805,0.00336,0.00528,0.00817,0.00379,0.01574,1e-05,0.00162,0.00349,0.00406,0.0059,0.0,0.00461,0.00057,0.0001,5e-05,2e-05,0.01967,0.00875,0.0,0.00233,0.00773,0.00184
