 ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
у,0.000228,0.000596,0.00158,0.001098,0.00234,0.000302,0.002525,0.000405,0.000625,0.000131,0.001278,0.00216,0.001658,0.001076,0.000413,0.001491,0.000905,0.002045,0.002209,0.000169,5.6e-05,0.000468,1.8e-05,0.001451,0.000957,0.000296,0.0,0.0,7.3e-05,0.000951,0.00027
ф,0.000345,2e-06,1.6e-05,6e-06,1.4e-05,0.000504,0.0,8e-06,8.5e-05,0.0,2e-05,0.000103,1e-05,2.8e-05,0.000157,2.6e-05,0.000105,2.6e-05,2.4e-05,1.6e-05,1e-05,0.0,0.0,2e-06,2e-06,0.0,4.4e-05,0.0,4e-06,0.0,1.2e-05
х,0.000865,0.000137,0.000502,0.000105,0.000179,0.000115,0.000101,0.000109,0.000439,0.0,0.000171,0.00025,0.000276,0.000655,0.00287,0.000472,0.000314,0.000419,0.000197,0.000256,1.6e-05,2.6e-05,2.4e-05,5.4e-05,4.8e-05,0.0,0.0,0.0,2.2e-05,2e-06,6.4e-05
ц,0.000486,2e-06,0.000206,0.0,4e-06,0.000707,2e-06,8e-06,0.000343,0.0,1.4e-05,4e-06,6e-06,2.8e-05,0.000123,2.4e-05,8e-06,1.8e-05,1.6e-05,0.000121,0.0,0.0,0.0,0.0,2e-06,0.0,0.000131,0.0,0.0,0.0,0.0
ч,0.00211,0.0,0.0,0.0,2e-06,0.004167,0.0,0.0,0.00241,0.0,0.000387,1.4e-05,6e-06,0.001042,5.4e-05,0.0,1e-05,0.0,0.003571,0.000709,0.0,0.0,0.0,0.0,0.000167,0.0,0.0,0.000335,0.0,0.0,0.0
ш,0.000913,1e-05,1.4e-05,2e-06,6e-06,0.002223,0.0,0.0,0.001755,0.0,0.00111,0.000897,3e-05,0.000302,0.000512,2.2e-05,8e-06,1.2e-05,5.6e-05,0.000415,0.0,0.0,0.0,0.0,8e-06,0.0,0.0,0.000863,0.0,0.0,0.0
щ,0.000423,0.0,2e-06,0.0,0.0,0.001894,0.0,0.0,0.000961,0.0,0.0,0.0,0.0,9.3e-05,0.0,0.0,0.0,2e-06,0.0,0.000139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0
ы,7.3e-05,0.000441,0.001485,0.000258,0.000381,0.00135,0.000113,0.000264,0.000306,0.001495,0.000476,0.001856,0.001326,0.000808,0.000371,0.000873,0.000393,0.001419,0.000996,0.000218,1.8e-05,0.001177,1.2e-05,0.000359,0.000615,2e-05,0.0,0.0,6.4e-05,2e-06,0.000131
ь,0.000272,0.000459,0.001608,0.00021,0.000671,0.000701,0.000105,0.000653,0.000981,0.0,0.002184,0.000347,0.000921,0.003232,0.000925,0.001435,0.000409,0.00298,0.00075,0.000425,0.000324,0.000153,9.7e-05,0.000814,0.001241,1e-05,0.0,0.0,0.000145,0.000463,0.000844
э,0.0,0.0,6e-06,0.0,8e-06,0.0,0.0,0.0,0.0,0.00076,4.2e-05,0.000101,1.8e-05,9.5e-05,0.0,4e-06,1.4e-05,2.6e-05,0.00245,0.0,6e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,7.7e-05,0.000292,0.000228,5.4e-05,0.000633,4.4e-05,7.5e-05,9.7e-05,0.000147,0.0,0.000236,6.4e-05,0.000121,0.000296,0.000185,0.000333,0.000123,0.000449,0.000687,6.9e-05,1.2e-05,2.4e-05,4e-06,0.00024,3e-05,0.00048,0.0,0.0,4.8e-05,1.2e-05,8.1e-05
я,0.000202,0.000506,0.001971,0.000375,0.001382,0.000415,0.000409,0.000895,0.000875,6.6e-05,0.000879,0.001542,0.001322,0.002833,0.001054,0.001677,0.000601,0.002186,0.002211,0.000464,7.1e-05,0.000268,4.6e-05,0.000484,7.9e-05,0.000232,0.0,0.0,0.000202,0.000149,0.000359
