 , ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
т,0.00507,0.005216,2.3e-05,0.001841,0.000123,0.000133,0.004693,0.0,0.0,0.003768,0.0,0.000759,0.000356,4.3e-05,0.001425,0.011777,0.00014,0.003275,0.001152,7.3e-05,0.001258,0.0,3e-05,3.3e-05,7e-05,2e-05,1.7e-05,0.001634,0.00722,0.0,2.3e-05,0.000563
у,0.006334,5.7e-05,0.000363,0.000776,0.000845,0.001604,0.000143,0.002007,0.000156,3e-05,9.3e-05,0.000802,0.001601,0.001005,0.000126,0.0,0.000679,0.000519,0.001298,0.001574,1e-05,7e-06,0.000346,0.0,0.001009,0.000776,0.000233,0.0,0.0,0.0,0.000789,6.7e-05
ф,0.000203,0.00033,0.0,0.0,0.0,0.0,0.000416,0.0,0.0,4e-05,0.0,1e-05,8.7e-05,0.0,0.0,0.00012,0.0,8.7e-05,3e-06,3e-06,7e-06,3e-06,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0
х,0.003129,0.000659,0.0,0.000196,0.0,0.0,4e-05,0.0,0.0,0.000226,0.0,0.0,0.000146,7.7e-05,0.00026,0.00228,0.0,0.00012,4.3e-05,3.3e-05,0.00014,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
ц,0.000196,0.000399,0.0,0.00018,0.0,0.0,0.000586,0.0,0.0,0.000236,0.0,0.0,0.0,0.0,0.0,9.3e-05,0.0,0.0,0.0,0.0,8.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,0.0,0.0,0.0,0.0
ч,1.7e-05,0.001678,0.0,0.0,0.0,0.0,0.003438,0.0,0.0,0.002097,0.0,0.000316,0.0,3e-06,0.000829,4.3e-05,0.0,7e-06,0.0,0.002952,0.000656,0.0,0.0,0.0,0.0,0.000126,0.0,0.0,0.00028,0.0,0.0,0.0
ш,0.000113,0.000819,0.0,0.0,0.0,0.0,0.001917,0.0,0.0,0.001461,0.0,0.000922,0.000762,1.7e-05,0.00024,0.000366,0.0,0.0,0.0,4e-05,0.000323,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.000706,0.0,0.0,0.0
щ,0.0,0.000336,0.0,0.0,0.0,0.0,0.001551,0.0,0.0,0.000782,0.0,0.0,0.0,0.0,9.7e-05,0.0,0.0,0.0,0.0,0.0,0.000113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3e-05,0.0,0.0,0.0
ы,0.004597,0.0,0.00022,0.000825,0.00014,0.00013,0.001052,2.3e-05,7.3e-05,0.0,0.001268,0.000233,0.001505,0.000786,0.00013,0.0,0.00015,0.00023,0.000646,0.000549,3e-06,0.0,0.000899,0.0,0.000223,0.000473,7e-06,0.0,0.0,0.0,0.0,2.7e-05
ь,0.012709,0.0,6.3e-05,0.0,1.3e-05,1e-05,0.000379,0.0,0.00014,5e-05,0.0,0.001172,0.0,0.000113,0.001242,0.0,0.0,0.0,0.001458,3e-05,0.0,0.00019,0.0,6e-05,0.000226,0.001005,7e-06,0.0,0.0,0.0,0.000356,0.000376
э,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.000609,3e-05,8e-05,2.3e-05,6.3e-05,0.0,3e-06,7e-06,1.3e-05,0.002037,0.0,3e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,0.00253,0.0,0.000233,0.0,0.0,0.000429,0.0,0.0,1.7e-05,0.0,0.0,7e-06,0.0,7e-06,5e-05,0.0,0.0,2.3e-05,0.00012,0.000453,0.0,3e-06,1.3e-05,0.0,5.7e-05,3e-06,0.000419,0.0,0.0,0.0,1.3e-05,0.0
я,0.013288,0.0,7e-06,0.000293,0.00017,0.000672,8.7e-05,0.000156,0.0003,4.3e-05,4.3e-05,9e-05,0.001049,0.000459,0.000659,0.0,3e-06,0.0001,0.000632,0.001215,0.0,0.0,0.000123,1e-05,8.3e-05,0.0,0.0002,0.0,0.0,0.0,0.00012,8e-05
