 , ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
т,0.005035,0.005333,2.7e-05,0.001888,0.000105,0.000145,0.004791,0.0,2e-06,0.003697,0.0,0.000741,0.000367,4.3e-05,0.00136,0.011966,0.000161,0.003248,0.00114,7.8e-05,0.001222,0.0,2.7e-05,4.2e-05,6.5e-05,2e-05,1.5e-05,0.001548,0.007118,0.0,2.2e-05,0.000544
у,0.006314,6.8e-05,0.000359,0.000738,0.000844,0.001684,0.000178,0.001997,0.00018,3.2e-05,0.00011,0.000758,0.001644,0.000954,0.000141,0.0,0.000657,0.000587,0.001209,0.001548,1.3e-05,1e-05,0.000352,2e-06,0.000999,0.000775,0.000248,0.0,0.0,0.0,0.000793,6.8e-05
ф,0.000214,0.000284,0.0,0.0,0.0,0.0,0.000416,0.0,0.0,5.8e-05,0.0,1e-05,8.5e-05,0.0,0.0,0.000116,0.0,8.5e-05,2e-06,3e-06,1e-05,7e-06,0.0,0.0,0.0,0.0,0.0,3.7e-05,0.0,0.0,0.0,2e-06
х,0.003149,0.00066,0.0,0.000204,0.0,0.0,6.2e-05,0.0,0.0,0.000223,0.0,0.0,0.000128,6.6e-05,0.000258,0.002221,0.0,0.000131,3.3e-05,2.5e-05,0.00012,0.0,2e-06,0.0,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0
ц,0.000195,0.000399,0.0,0.000151,0.0,0.0,0.00059,0.0,0.0,0.000279,0.0,0.0,0.0,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,0.0,0.0,0.0,0.0
ч,1.7e-05,0.001767,0.0,0.0,0.0,0.0,0.003489,0.0,0.0,0.002016,0.0,0.000324,8e-06,3e-06,0.000869,4.5e-05,0.0,8e-06,0.0,0.002987,0.000593,0.0,0.0,0.0,0.0,0.00014,0.0,0.0,0.000281,0.0,0.0,0.0
ш,0.000116,0.000761,0.0,5e-06,0.0,0.0,0.001862,0.0,0.0,0.001463,0.0,0.000924,0.00075,1.5e-05,0.000249,0.000419,3e-06,3e-06,0.0,3.2e-05,0.000344,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.000723,0.0,0.0,0.0
щ,8e-06,0.000354,0.0,0.0,0.0,0.0,0.001586,0.0,0.0,0.000803,0.0,0.0,0.0,0.0,7.8e-05,0.0,0.0,0.0,0.0,0.0,0.000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6e-05,0.0,0.0,0.0
ы,0.004728,0.0,0.000213,0.000851,0.00013,0.000108,0.001031,3.8e-05,6.6e-05,0.0,0.001252,0.000233,0.001493,0.000854,0.000133,0.0,0.000173,0.000234,0.000713,0.000622,5e-06,0.0,0.000886,0.0,0.000201,0.000492,1.7e-05,0.0,0.0,0.0,0.0,2.5e-05
ь,0.012644,0.0,5.7e-05,2e-06,1e-05,5e-06,0.000356,0.0,0.000148,4.7e-05,0.0,0.001119,0.0,0.000125,0.001283,5e-06,0.0,0.0,0.00148,4.3e-05,0.0,0.000221,0.0,6.6e-05,0.000238,0.001002,5e-06,0.0,0.0,0.0,0.000386,0.000331
э,0.0,0.0,0.0,5e-06,0.0,7e-06,0.0,0.0,0.0,0.0,0.000637,3.5e-05,8.5e-05,1.5e-05,8e-05,0.0,3e-06,1.2e-05,2.2e-05,0.002051,0.0,5e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,0.002464,3e-06,0.000204,2e-06,5e-06,0.000422,3e-06,0.0,2.8e-05,0.0,0.0,1.2e-05,0.0,5e-06,5.7e-05,0.0,0.0,2.2e-05,0.000156,0.000434,0.0,2e-06,1.2e-05,0.0,7.3e-05,5e-06,0.000399,0.0,0.0,0.0,1e-05,0.0
я,0.013273,0.0,5e-06,0.000311,0.000158,0.000637,9.8e-05,0.000185,0.000276,4.3e-05,5.5e-05,7.1e-05,0.001009,0.000427,0.000675,0.0,1.5e-05,0.000146,0.000632,0.001267,0.0,0.0,0.000116,1.3e-05,7.6e-05,1e-05,0.000195,0.0,0.0,0.0,0.000121,9e-05
